Sentence #,Word,ANM,NER
,측,O,O
,요구를,O,O
,받고,O,O
,수정,O,O
,##했다,O,O
,[SEP],O,O
Sentence 1081,[CLS],O,O
,중국,ANM-B,LOC-B
,당,ANM-I,PER-B
,##국,ANM-I,PER-I
,##자는,ANM-I,PER-I
,[UNK],O,O
,소,O,O
,##국은,O,O
,대,O,O
,##국을,O,O
,따라,O,O
,##야,O,O
,한다,O,O
,[UNK],O,O
,고,O,O
,말한다,O,O
,[SEP],O,O
Sentence 1082,[CLS],O,O
,중국,ANM-B,ETC-B
,규제,ANM-I,ETC-I
,당,ANM-I,ETC-I
,##국,ANM-I,ETC-I
,소속,ANM-I,ETC-I
,##인,ANM-I,ETC-I
,이,ANM-I,O
,소식,ANM-I,PER-B
,##통은,ANM-I,PER-I
,[UNK],O,O
,정부는,O,O
,매각,O,O
,가격,O,O
,등,O,O
,세부,O,O
,사항,O,O
,##에는,O,O
,개입,O,O
,##할,O,O
,의사가,O,O
,없지만,O,O
,",",O,O
,거래,O,O
,원칙,O,O
,##은,O,O
,있다,O,O
,[UNK],O,O
,면,O,O
,##서,O,O
,두,O,O
,가지를,O,O
,소개했다,O,O
,[SEP],O,O
Sentence 1083,[CLS],O,O
,중국,ANM-B,PER-B
,군사,ANM-I,PER-I
,##전문가,ANM-I,PER-I
,##들은,ANM-I,NUM-B
,2인,O,O
,##승,O,O
,스텔,O,O
,##스,O,O
,전투,O,O
,##기는,O,O
,세계,O,O
,처음이라,O,O
,##고,O,O
,했다,O,O
,[SEP],O,O
Sentence 1084,[CLS],O,O
,중국,O,O
,관,O,O
,##영,O,O
,증권,O,O
,##시,O,O
,##보는,O,O
,22일,O,O
,익,ANM-B,O
,##명의,ANM-I,O
,소식,ANM-I,PER-B
,##통을,ANM-I,PER-I
,인용,O,O
,##해,O,O
,헝,O,O
,##다가,O,O
,달러,O,O
,##화,O,O
,채권,O,O
,이자,O,O
,83,O,O
,##50,O,O
,##만달러,O,O
,(,O,O
,약,O,O
,98,O,O
,##5,O,O
,##억원,O,O
,),O,O
,를,O,O
,전날,O,O
,수,O,O
,##탁,O,O
,기관,O,O
,##인,O,O
,시티,O,O
,##은행,O,O
,##에,O,O
,송,O,O
,##금,O,O
,##했으며,O,O
,채권,O,O
,보유,O,O
,##인들이,O,O
,이,O,O
,돈을,O,O
,23일,O,O
,전에,O,O
,받을,O,O
,수,O,O
,있다고,O,O
,보도했다,O,O
,[SEP],O,O
Sentence 1085,[CLS],O,O
,중국,O,O
,경제,O,O
,매체,O,O
,차이,O,O
,##신,O,O
,(,O,O
,[UNK],O,O
,[UNK],O,O
,),O,O
,은,O,O
,28일,O,O
,밤,O,O
,익,ANM-B,O
,##명의,ANM-I,O
,소식,ANM-I,PER-B
,##통을,ANM-I,PER-I
,인용,O,O
,##해,O,O
,칭,O,O
,##화,O,O
,##유니,O,O
,전략,O,O
,투자자,O,O
,후보,O,O
,##군이,O,O
,알리,O,O
,##바,O,O
,##바,O,O
,-,O,O
,저장,O,O
,##성,O,O
,국,O,O
,##유,O,O
,##자산,O,O
,##감독,O,O
,##관리,O,O
,##위원회,O,O
,컨,O,O
,##소시,O,O
,##엄,O,O
,##와,O,O
,베이징,O,O
,##의,O,O
,사모,O,O
,##펀드,O,O
,연합,O,O
,##체인,O,O
,즈,O,O
,##루,O,O
,##젠,O,O
,##광,O,O
,(,O,O
,[UNK],O,O
,[UNK],O,O
,[UNK],O,O
,[UNK],O,O
,),O,O
,2,O,O
,##곳으로,O,O
,좁,O,O
,##혀,O,O
,##졌다고,O,O
,전했다,O,O
,[SEP],O,O
Sentence 1086,[CLS],O,O
,중,ANM-B,ETC-B
,##3,ANM-I,ETC-I
,아들,ANM-I,ETC-B
,주,ANM-I,PER-B
,##현,ANM-I,PER-I
,(,ANM-I,O
,가,ANM-I,O
,##명,ANM-I,O
,),ANM-I,O
,군,ANM-I,O
,##을,ANM-I,O
,제주도,ANM-I,LOC-B
,##에,ANM-I,O
,있는,ANM-I,O
,국제,ANM-I,ORG-B
,##학교,ANM-I,ORG-I
,##에,ANM-I,O
,보낸,ANM-I,O
,학부모,ANM-I,ETC-B
,b,ANM-I,PER-B
,##씨는,ANM-I,PER-I
,[UNK],O,O
,선생님,O,O
,##과,O,O
,아이들,O,O
,모두,O,O
,최신,O,O
,노트북을,O,O
,가지고,O,O
,있어,O,O
,온라인,O,O
,수업,O,O
,전환,O,O
,##이,O,O
,빨랐,O,O
,##다,O,O
,[UNK],O,O
,고,O,O
,설명했다,O,O
,[SEP],O,O
Sentence 1087,[CLS],O,O
,중,ANM-B,ETC-B
,##1,ANM-I,ETC-I
,해,ANM-I,PER-B
,##인,ANM-I,PER-I
,(,ANM-I,O
,가,ANM-I,O
,##명,ANM-I,O
,),ANM-I,O
,이는,O,O
,코로나19,O,O
,확산,O,O
,후,O,O
,온라인,O,O
,수업을,O,O
,위해,O,O
,태블릿,O,O
,pc,O,O
,##를,O,O
,새로,O,O
,구입했다,O,O
,[SEP],O,O
Sentence 1088,[CLS],O,O
,중,ANM-B,ETC-B
,[UNK],ANM-I,ETC-I
,고생,ANM-I,ETC-I
,수학,ANM-I,ETC-I
,##전문,ANM-I,ETC-I
,##학원,ANM-I,ETC-I
,(,ANM-I,O
,덕,ANM-I,LOC-B
,##진구,ANM-I,LOC-I
,),ANM-I,O
,을,ANM-I,O
,운영하는,ANM-I,O
,김진,ANM-I,PER-B
,##석,ANM-I,PER-I
,(,ANM-I,O
,가,ANM-I,O
,##명,ANM-I,O
,),ANM-I,O
,씨,O,O
,##도,O,O
,지난,O,O
,3월,O,O
,##분,O,O
,임대,O,O
,##료,O,O
,50만,O,O
,##원을,O,O
,면제,O,O
,##받았다,O,O
,[SEP],O,O
Sentence 1089,[CLS],O,O
,중,ANM-B,O
,[UNK],ANM-I,O
,고등학교,ANM-I,O
,##를,ANM-I,O
,고양시,ANM-I,LOC-B
,##에서,ANM-I,O
,보낸,ANM-I,O
,김지,ANM-I,PER-B
,##영,ANM-I,PER-I
,##씨,ANM-I,PER-I
,(,ANM-I,O
,가,ANM-I,O
,##명,ANM-I,O
,),ANM-I,O
,는,O,O
,[UNK],O,O
,나무가,O,O
,잘,O,O
,##린,O,O
,모습에,O,O
,큰,O,O
,충격을,O,O
,받았다,O,O
,[UNK],O,O
,[SEP],O,O
Sentence 1090,[CLS],O,O
,줄을,ANM-B,O
,서,ANM-I,O
,있던,ANM-I,O
,하,ANM-I,PER-B
,##상,ANM-I,PER-I
,##수,ANM-I,PER-I
,##씨,ANM-I,PER-I
,(,ANM-I,O
,75,ANM-I,ETC-B
,[UNK],ANM-I,O
,가,ANM-I,O
,##명,ANM-I,O
,),ANM-I,O
,는,O,O
,오전,O,O
,8시,O,O
,##에,O,O
,일어나,O,O
,지하철,O,O
,택배로,O,O
,하루,O,O
,종일,O,O
,돌아,O,O
,##다닌,O,O
,##다고,O,O
,했다,O,O
,[SEP],O,O
Sentence 1091,[CLS],O,O
,13일,O,O
,재,ANM-B,FLD-B
,##계에,ANM-I,FLD-I
,따르면,O,O
,금호,O,O
,##타이어,O,O
,##는,O,O
,최근,O,O
,들어,O,O
,ktx,O,O
,광주,O,O
,##송,O,O
,##정,O,O
,##역에,O,O
,붙어있는,O,O
,광주,O,O
,공장을,O,O
,매각,O,O
,##하고,O,O
,광주,O,O
,광산,O,O
,##구와,O,O
,전남,O,O
,함,O,O
,##평,O,O
,##군,O,O
,일대,O,O
,##에,O,O
,새로,O,O
,조성,O,O
,##된,O,O
,[UNK],O,O
,빛,O,O
,##그린,O,O
,산업,O,O
,##단지,O,O
,[UNK],O,O
,로,O,O
,##의,O,O
,이전,O,O
,##을,O,O
,추진하고,O,O
,있다,O,O
,[SEP],O,O
Sentence 1092,[CLS],O,O
,준,ANM-B,ETC-B
,##연,ANM-I,ETC-I
,##동,ANM-I,ETC-I
,##형,ANM-I,ETC-I
,비례,ANM-I,ETC-I
,##대표,ANM-I,ETC-I
,##제,ANM-I,ETC-I
,선거,ANM-I,ETC-I
,##법,ANM-I,ETC-I
,개정,ANM-I,ETC-I
,##안을,ANM-I,ETC-I
,주도,ANM-I,ETC-I
,##했던,ANM-I,ETC-I
,정의,ANM-I,ORG-B
,##당의,ANM-I,ORG-I
,한,ANM-I,NUM-B
,인사,ANM-I,PER-B
,##는,O,O
,[UNK],O,O
,법적,O,O
,##으로,O,O
,보면,O,O
,미래,O,O
,##통합,O,O
,##당과,O,O
,미래,O,O
,##한국,O,O
,##당이,O,O
,21,O,O
,##대,O,O
,국회의,O,O
,원,O,O
,##구성,O,O
,협상,O,O
,전에,O,O
,합,O,O
,##당을,O,O
,결의,O,O
,##하게,O,O
,되고,O,O
,",",O,O
,(,O,O
,합,O,O
,##한,O,O
,의,O,O
,##석이,O,O
,),O,O
,민주당,O,O
,##보다,O,O
,더,O,O
,많은,O,O
,의,O,O
,##석을,O,O
,차지,O,O
,##하게,O,O
,되면,O,O
,1,O,O
,##당이,O,O
,되게,O,O
,돼,O,O
,있다,O,O
,[UNK],O,O
,고,O,O
,말했다,O,O
,[SEP],O,O
Sentence 1093,[CLS],O,O
,전문가들은,ANM-B,PER-B
,co,O,O
,##p,O,O
,##26,O,O
,##에서,O,O
,한국의,O,O
,역할을,O,O
,인정,O,O
,##하면서도,O,O
,국제,O,O
,##사회,O,O
,##에서,O,O
,리더십,O,O
,있는,O,O
,모습,O,O
,##까지는,O,O
,보이지,O,O
,않은,O,O
,점은,O,O
,아쉬,O,O
,##웠다,O,O
,[UNK],O,O
,고,O,O
,평가했다,O,O
,[SEP],O,O
Sentence 1094,[CLS],O,O
,주,ANM-B,ORG-B
,##중,ANM-I,ORG-I
,대사,ANM-I,ORG-I
,##관,ANM-I,ORG-I
,고위,ANM-I,PER-B
,관계자는,ANM-I,PER-I
,26일,O,O
,[UNK],O,O
,올해,O,O
,한,O,O
,[UNK],O,O
,중,O,O
,교,O,O
,##역이,O,O
,중국,O,O
,측,O,O
,통계,O,O
,기준으로,O,O
,200,O,O
,##0,O,O
,##억,O,O
,달러를,O,O
,돌파,O,O
,##할,O,O
,가능성이,O,O
,높다는,O,O
,메시지를,O,O
,중국,O,O
,고위,O,O
,인사,O,O
,##들이,O,O
,우리,O,O
,측에,O,O
,전달,O,O
,##했다,O,O
,[UNK],O,O
,고,O,O
,밝혔다,O,O
,[SEP],O,O
Sentence 1095,[CLS],O,O
,주,ANM-B,PER-B
,##영,ANM-I,PER-I
,##훈,ANM-I,PER-I
,##씨,ANM-I,PER-I
,(,ANM-I,O
,가,ANM-I,O
,##명,ANM-I,O
,[UNK],ANM-I,O
,65,ANM-I,ETC-B
,),ANM-I,O
,는,O,O
,로,O,O
,##또,O,O
,##가,O,O
,생긴,O,O
,날로,O,O
,##부터,O,O
,단,O,O
,한,O,O
,주도,O,O
,빠지지,O,O
,않고,O,O
,복,O,O
,##권을,O,O
,구입했다,O,O
,[SEP],O,O
Sentence 1096,[CLS],O,O
,주부,ANM-B,ETC-B
,한,ANM-I,PER-B
,##영,ANM-I,PER-I
,##희,ANM-I,PER-I
,##씨,ANM-I,PER-I
,(,ANM-I,O
,가,ANM-I,O
,##명,ANM-I,O
,[UNK],ANM-I,O
,51,ANM-I,ETC-B
,),ANM-I,O
,는,O,O
,10년,O,O
,전,O,O
,우연히,O,O
,친구와,O,O
,함께,O,O
,경,O,O
,##마,O,O
,##장에,O,O
,가,O,O
,재미,O,O
,##삼아,O,O
,마,O,O
,##권을,O,O
,샀다,O,O
,##가,O,O
,수백,O,O
,##만원의,O,O
,배당,O,O
,##을,O,O
,받았다,O,O
,[SEP],O,O
Sentence 1097,[CLS],O,O
,주부,ANM-B,ETC-B
,최,ANM-I,PER-B
,##미,ANM-I,PER-I
,##화,ANM-I,PER-I
,(,ANM-I,O
,51,ANM-I,ETC-B
,[UNK],ANM-I,O
,여,ANM-I,ETC-B
,[UNK],ANM-I,O
,가,ANM-I,O
,##명,ANM-I,O
,),ANM-I,O
,씨는,O,O
,지난해,O,O
,4월,O,O
,코로나19,O,O
,완,O,O
,##치,O,O
,판정을,O,O
,받은,O,O
,후,O,O
,코에,O,O
,##서,O,O
,담배,O,O
,냄새가,O,O
,나기,O,O
,시작했다,O,O
,[SEP],O,O
Sentence 1098,[CLS],O,O
,주부,ANM-B,ETC-B
,김영,ANM-I,PER-B
,##숙,ANM-I,PER-I
,##씨,ANM-I,PER-I
,(,ANM-I,O
,49,ANM-I,ETC-B
,[UNK],ANM-I,O
,가,ANM-I,O
,##명,ANM-I,O
,),ANM-I,O
,는,O,O
,한국,O,O
,정치가,O,O
,87,O,O
,##년,O,O
,체제,O,O
,수준에,O,O
,머물러,O,O
,있다고,O,O
,지적했다,O,O
,[SEP],O,O
Sentence 1099,[CLS],O,O
,주부,ANM-B,ETC-B
,김영,ANM-I,PER-B
,##란,ANM-I,PER-I
,(,ANM-I,O
,60,ANM-I,ETC-B
,[UNK],ANM-I,O
,여,ANM-I,ETC-B
,[UNK],ANM-I,O
,가,ANM-I,O
,##명,ANM-I,O
,),ANM-I,O
,씨는,O,O
,지난해,O,O
,2월,O,O
,코로나19,O,O
,##에,O,O
,걸렸다,O,O
,##가,O,O
,3월,O,O
,완,O,O
,##치,O,O
,판정을,O,O
,받은,O,O
,후,O,O
,현재까지,O,O
,##도,O,O
,탈모,O,O
,증,O,O
,##세로,O,O
,고통,O,O
,##받고,O,O
,있다,O,O
,[SEP],O,O
Sentence 1100,[CLS],O,O
,주민,ANM-B,ETC-B
,유성,ANM-I,PER-B
,##진,ANM-I,PER-I
,##씨,ANM-I,PER-I
,(,ANM-I,O
,63,ANM-I,ETC-B
,[UNK],ANM-I,O
,가,ANM-I,O
,##명,ANM-I,O
,),ANM-I,O
,와,O,O
,함께,O,O
,마을,O,O
,개,O,O
,##울,O,O
,##로,O,O
,갔다,O,O
,[SEP],O,O
Sentence 1101,[CLS],O,O
,주무,ANM-B,ETC-B
,부서,ANM-I,ETC-I
,##인,ANM-I,ETC-I
,교육과,ANM-I,ORG-B
,##학기,ANM-I,ORG-I
,##술,ANM-I,ORG-I
,##부의,ANM-I,ORG-I
,핵심,ANM-I,PER-B
,관계자는,ANM-I,PER-I
,21일,O,O
,d,O,O
,##g,O,O
,##ist,O,O
,이사,O,O
,##회,O,O
,구성,O,O
,##과,O,O
,관련,O,O
,",",O,O
,[UNK],O,O
,d,O,O
,##g,O,O
,##ist,O,O
,##와,O,O
,대구경북,O,O
,##에,O,O
,애정을,O,O
,갖고,O,O
,있는,O,O
,인사,O,O
,##가,O,O
,이사장,O,O
,##을,O,O
,맡,O,O
,##는,O,O
,것이,O,O
,좋지,O,O
,않겠,O,O
,##느냐,O,O
,[UNK],O,O
,며,O,O
,윤,O,O
,고문,O,O
,##이,O,O
,아닌,O,O
,제3,O,O
,##의,O,O
,인물이,O,O
,이사장,O,O
,##을,O,O
,맡,O,O
,##을,O,O
,수도,O,O
,있다는,O,O
,뉘,O,O
,##앙,O,O
,##스를,O,O
,풍,O,O
,##겼다,O,O
,[SEP],O,O
Sentence 1102,[CLS],O,O
,주,O,O
,##뉴,O,O
,##질랜드,O,O
,대사,O,O
,##관,O,O
,측은,O,O
,피해자,O,O
,##와,O,O
,올해,O,O
,초,O,O
,4개월,O,O
,##간,O,O
,중,O,O
,##재,O,O
,협의를,O,O
,벌,O,O
,##였으나,O,O
,피해자,O,O
,##의,O,O
,위,O,O
,##자료,O,O
,요구,O,O
,등에,O,O
,대한,O,O
,입장,O,O
,##차가,O,O
,커서,O,O
,결,O,O
,##렬,O,O
,##됐다고,O,O
,고위,ANM-B,PER-B
,당,ANM-I,PER-I
,##국,ANM-I,PER-I
,##자는,ANM-I,PER-I
,전했다,O,O
,[SEP],O,O
Sentence 1103,[CLS],O,O
,종,O,O
,##전선,O,O
,##언을,O,O
,둘러싼,O,O
,[UNK],O,O
,간,O,O
,협의,O,O
,##에,O,O
,차,O,O
,##질이,O,O
,있는,O,O
,것,O,O
,아니냐는,O,O
,지적이,O,O
,이어,O,O
,##지자,O,O
,외교,ANM-B,ORG-B
,##부,ANM-I,ORG-I
,당,ANM-I,PER-B
,##국,ANM-I,PER-I
,##자는,ANM-I,PER-I
,지난,O,O
,28일,O,O
,브리,O,O
,##핑을,O,O
,자,O,O
,##처,O,O
,##해,O,O
,[UNK],O,O
,(,O,O
,종,O,O
,##전선,O,O
,##언,O,O
,관련,O,O
,[UNK],O,O
,협의,O,O
,##는,O,O
,),O,O
,상호,O,O
,바람직한,O,O
,방향으로,O,O
,진지,O,O
,##하고,O,O
,속도,O,O
,##감,O,O
,있게,O,O
,이뤄,O,O
,##지고,O,O
,있다,O,O
,[UNK],O,O
,며,O,O
,진화,O,O
,##에,O,O
,나섰다,O,O
,[SEP],O,O
Sentence 1104,[CLS],O,O
,종,O,O
,##북,O,O
,##주의,O,O
,문제와,O,O
,관련,O,O
,",",O,O
,익,ANM-B,WHY-B
,##명을,ANM-I,WHY-I
,요구,ANM-I,WHY-I
,##한,ANM-I,WHY-I
,전,ANM-I,PER-B
,핵심,ANM-I,PER-I
,당,ANM-I,PER-I
,##직,ANM-I,PER-I
,##자는,ANM-I,PER-I
,[UNK],O,O
,지금,O,O
,종,O,O
,##북,O,O
,##주의를,O,O
,둘러싼,O,O
,논쟁,O,O
,##은,O,O
,신,O,O
,##당이,O,O
,[UNK],O,O
,노무현,O,O
,[UNK],O,O
,을,O,O
,두고,O,O
,벌이는,O,O
,말,O,O
,##싸,O,O
,##움과,O,O
,같다,O,O
,[UNK],O,O
,고,O,O
,말했다,O,O
,[SEP],O,O
Sentence 1105,[CLS],O,O
,종로,O,O
,##에서,O,O
,동료,O,O
,20여,O,O
,##명과,O,O
,함께,O,O
,인도,O,O
,청소,O,O
,##작업을,O,O
,한,O,O
,노,ANM-B,ETC-B
,##숙,ANM-I,ETC-I
,##인,ANM-I,ETC-I
,이상,ANM-I,PER-B
,##복,ANM-I,PER-I
,##씨,ANM-I,PER-I
,(,ANM-I,O
,46,ANM-I,ETC-B
,[UNK],ANM-I,O
,가,ANM-I,O
,##명,ANM-I,O
,),ANM-I,O
,는,O,O
,[UNK],O,O
,서울,O,O
,##역에서,O,O
,노,O,O
,##숙,O,O
,##생활,O,O
,8개월,O,O
,##이나,O,O
,하고,O,O
,밑,O,O
,##바닥,O,O
,##까지,O,O
,다,O,O
,기어,O,O
,##봤다,O,O
,[UNK],O,O
,며,O,O
,[UNK],O,O
,이제는,O,O
,내,O,O
,##집,O,O
,마련,O,O
,##할,O,O
,때까지,O,O
,일을,O,O
,할,O,O
,것,O,O
,[UNK],O,O
,이라,O,O
,##며,O,O
,의,O,O
,##욕을,O,O
,다,O,O
,##졌다,O,O
,[SEP],O,O
Sentence 1106,[CLS],O,O
,종로구,ANM-B,ORG-B
,관계자는,ANM-I,PER-B
,이날,O,O
,발표,O,O
,직후,O,O
,[UNK],O,O
,인근에,O,O
,고,O,O
,##궁,O,O
,##과,O,O
,현대,O,O
,##미술관,O,O
,##이,O,O
,있고,O,O
,인사,O,O
,##동과,O,O
,삼,O,O
,##청,O,O
,##동,O,O
,##도,O,O
,모두,O,O
,걸어,O,O
,##갈,O,O
,수,O,O
,있는,O,O
,도보,O,O
,관광,O,O
,##권이,O,O
,##어서,O,O
,큰,O,O
,기대를,O,O
,하고,O,O
,있다,O,O
,[UNK],O,O
,며,O,O
,[UNK],O,O
,기존,O,O
,인프라,O,O
,##와,O,O
,시너지,O,O
,효과를,O,O
,내,O,O
,국내,O,O
,##는,O,O
,물론,O,O
,외국,O,O
,관광객,O,O
,유치,O,O
,##에,O,O
,도움이,O,O
,될,O,O
,것,O,O
,[UNK],O,O
,이라고,O,O
,말했다,O,O
,[SEP],O,O
Sentence 1107,[CLS],O,O
,종로,ANM-B,LOC-B
,##3,ANM-I,LOC-I
,##가,ANM-I,LOC-I
,##역에서,ANM-I,LOC-I
,만난,ANM-I,O
,박영,ANM-I,PER-B
,##배,ANM-I,PER-I
,##씨,ANM-I,PER-I
,(,ANM-I,O
,78,ANM-I,ETC-B
,[UNK],ANM-I,O
,가,ANM-I,O
,##명,ANM-I,O
,),ANM-I,O
,는,O,O
,[UNK],O,O
,오직,O,O
,밥을,O,O
,먹기,O,O
,위해,O,O
,화,O,O
,##곡동,O,O
,##에서,O,O
,지하철,O,O
,##을,O,O
,타고,O,O
,왔다,O,O
,[UNK],O,O
,며,O,O
,역사,O,O
,바깥,O,O
,##의,O,O
,원,O,O
,##각,O,O
,##사,O,O
,무료,O,O
,##급식,O,O
,##소로,O,O
,향했다,O,O
,[SEP],O,O
Sentence 1108,[CLS],O,O
,조,ANM-B,ETC-B
,##혜,ANM-I,ETC-I
,##수,ANM-I,ETC-I
,##씨,ANM-I,ETC-I
,(,ANM-I,O
,가,ANM-I,O
,##명,ANM-I,O
,[UNK],ANM-I,O
,37,ANM-I,ETC-B
,),ANM-I,O
,의,ANM-I,O
,자녀,ANM-I,ETC-B
,b,ANM-I,PER-B
,##양,ANM-I,PER-I
,(,ANM-I,O
,17,ANM-I,ETC-B
,),ANM-I,O
,은,O,O
,모두,O,O
,눈앞에,O,O
,##서,O,O
,보고,O,O
,들었다,O,O
,[SEP],O,O
Sentence 1109,[CLS],O,O
,조,ANM-B,PER-B
,##현,ANM-I,PER-I
,##준,ANM-I,PER-I
,##씨,ANM-I,PER-I
,(,ANM-I,O
,35,ANM-I,ETC-B
,[UNK],ANM-I,O
,가,ANM-I,O
,##명,ANM-I,O
,),ANM-I,O
,는,O,O
,대기업,O,O
,계열사,O,O
,4년,O,O
,##차,O,O
,직원이,O,O
,##다,O,O
,[SEP],O,O
Sentence 1110,[CLS],O,O
,조합,ANM-B,FLD-B
,측은,ANM-I,FLD-I
,[UNK],O,O
,코스트코,O,O
,##가,O,O
,내년,O,O
,말,O,O
,준공,O,O
,##이나,O,O
,개장,O,O
,##을,O,O
,하려면,O,O
,늦,O,O
,##어도,O,O
,3월,O,O
,##중에는,O,O
,허가,O,O
,##가,O,O
,나,O,O
,##야,O,O
,한다,O,O
,[UNK],O,O
,고,O,O
,밝혔다,O,O
,[SEP],O,O
Sentence 1111,[CLS],O,O
,조합,ANM-B,ORG-B
,관계자는,ANM-I,PER-B
,[UNK],O,O
,중구,O,O
,##지역,O,O
,상인,O,O
,##뿐만,O,O
,아니라,O,O
,다른,O,O
,지역,O,O
,상인,O,O
,수천,O,O
,##명도,O,O
,입점,O,O
,반대,O,O
,##서,O,O
,##명을,O,O
,해,O,O
,북구,O,O
,##청에,O,O
,전달,O,O
,##한,O,O
,것으로,O,O
,파악,O,O
,##된다,O,O
,[UNK],O,O
,며,O,O
,[UNK],O,O
,지역,O,O
,소비자들의,O,O
,입장,O,O
,##도,O,O
,중요하다는,O,O
,생각에,O,O
,##서,O,O
,서명,O,O
,##작업을,O,O
,벌였다,O,O
,[UNK],O,O
,고,O,O
,말했다,O,O
,[SEP],O,O
Sentence 1112,[CLS],O,O
,조,ANM-B,PER-B
,##진,ANM-I,PER-I
,##수,ANM-I,PER-I
,##씨,ANM-I,PER-I
,(,ANM-I,O
,38,ANM-I,ETC-B
,[UNK],ANM-I,O
,가,ANM-I,O
,##명,ANM-I,O
,),ANM-I,O
,는,O,O
,컴퓨터,O,O
,수리,O,O
,##업체,O,O
,기사,O,O
,##였다,O,O
,[SEP],O,O
Sentence 1113,[CLS],O,O
,조직,O,O
,개편,O,O
,##과,O,O
,관련해,O,O
,익,ANM-B,WHY-B
,##명을,ANM-I,WHY-I
,요구,ANM-I,WHY-I
,##한,ANM-I,WHY-I
,교육,ANM-I,ORG-B
,##부,ANM-I,ORG-I
,고위,ANM-I,PER-B
,관계자는,ANM-I,PER-I
,[UNK],O,O
,초,O,O
,[UNK],O,O
,중,O,O
,##등,O,O
,##교육,O,O
,##이나,O,O
,대학,O,O
,##입,O,O
,##시나,O,O
,교육,O,O
,##부가,O,O
,아무리,O,O
,밤새,O,O
,##워,O,O
,##가며,O,O
,머리를,O,O
,싸,O,O
,##매,O,O
,##도,O,O
,비난,O,O
,##만,O,O
,들어왔다,O,O
,[UNK],O,O
,며,O,O
,[UNK],O,O
,과장,O,O
,##급,O,O
,이하,O,O
,직원,O,O
,##들은,O,O
,이번,O,O
,기회에,O,O
,차라리,O,O
,조직,O,O
,##개,O,O
,##편으로,O,O
,골,O,O
,##치아,O,O
,##픈,O,O
,관련,O,O
,업무를,O,O
,지자체,O,O
,등에,O,O
,이,O,O
,##양,O,O
,##하자는,O,O
,의견이,O,O
,많다,O,O
,[UNK],O,O
,고,O,O
,말했다,O,O
,[SEP],O,O
Sentence 1114,[CLS],O,O
,조,ANM-B,PER-B
,##은이,ANM-I,PER-I
,##씨,ANM-I,PER-I
,(,ANM-I,O
,29,ANM-I,ETC-B
,[UNK],ANM-I,O
,가,ANM-I,O
,##명,ANM-I,O
,),ANM-I,O
,는,O,O
,[UNK],O,O
,인터넷에,O,O
,생후,O,O
,10개월,O,O
,된,O,O
,아이가,O,O
,걷는,O,O
,##다는,O,O
,사연,O,O
,##도,O,O
,많이,O,O
,올라오는,O,O
,##데,O,O
,돌,O,O
,지난,O,O
,아들이,O,O
,아직,O,O
,걷,O,O
,##지,O,O
,못,O,O
,##하니,O,O
,마음이,O,O
,초,O,O
,##조,O,O
,##하다,O,O
,[SEP],O,O
Sentence 1115,[CLS],O,O
,조,ANM-B,PER-B
,##수,ANM-I,PER-I
,##연,ANM-I,PER-I
,(,ANM-I,O
,33,ANM-I,ETC-B
,[UNK],ANM-I,O
,가,ANM-I,O
,##명,ANM-I,O
,),ANM-I,O
,:,ANM-I,O
,은행,ANM-I,ORG-B
,과장,ANM-I,ETC-B
,",",ANM-I,O
,기,ANM-I,ETC-B
,##혼,ANM-I,ETC-I
,(,ANM-I,O
,남편은,ANM-I,O
,직장인,ANM-I,O
,),ANM-I,O
,",",O,O
,자녀,O,O
,##2,O,O
,(,O,O
,4세,O,O
,[UNK],O,O
,임신,O,O
,8개월,O,O
,##째,O,O
,),O,O
,어린이집,O,O
,과,O,O
,파트,O,O
,##타임,O,O
,육아,O,O
,##도우,O,O
,##미,O,O
,",",O,O
,팀,O,O
,##내,O,O
,성,O,O
,##비,O,O
,남,O,O
,9,O,O
,:,O,O
,여,O,O
,1,O,O
,[SEP],O,O
Sentence 1116,[CLS],O,O
,조성,ANM-B,PER-B
,##빈,ANM-I,PER-I
,##씨,ANM-I,PER-I
,(,ANM-I,O
,19,ANM-I,ETC-B
,[UNK],ANM-I,O
,가,ANM-I,O
,##명,ANM-I,O
,),ANM-I,O
,는,O,O
,고등학교,O,O
,졸업,O,O
,##을,O,O
,앞두고,O,O
,지방,O,O
,도시의,O,O
,발,O,O
,##광,O,O
,##다이,O,O
,##오드,O,O
,(,O,O
,led,O,O
,),O,O
,전구,O,O
,##회사,O,O
,##에,O,O
,취업,O,O
,##했다,O,O
,[SEP],O,O
Sentence 1117,[CLS],O,O
,지난,O,O
,11일,O,O
,오전,O,O
,1시,O,O
,",",O,O
,정,ANM-B,PER-B
,##현,ANM-I,PER-I
,##우,ANM-I,PER-I
,##씨,ANM-I,PER-I
,(,ANM-I,O
,38,ANM-I,ETC-B
,[UNK],ANM-I,O
,가,ANM-I,O
,##명,ANM-I,O
,),ANM-I,O
,는,O,O
,저녁,O,O
,##부터,O,O
,회사,O,O
,동료,O,O
,##들과,O,O
,술을,O,O
,마시고,O,O
,귀가,O,O
,##했다,O,O
,[SEP],O,O
Sentence 1118,[CLS],O,O
,조선,ANM-B,ORG-B
,##소에서,ANM-I,ORG-I
,15년,ANM-I,O
,##을,ANM-I,O
,일,ANM-I,O
,##했다는,ANM-I,O
,김,ANM-I,PER-B
,##철,ANM-I,PER-I
,##중,ANM-I,PER-I
,##씨,ANM-I,PER-I
